cluster_29
26
20
26
4
4
10
26
8
26
21
6
8
17
3
4
3
4
4
4
28
3
10
10
21
21
26
18
26
3
12
28
3
13
16
3
26
23
28
26
19
3
1
3
24
4
22
4
14
21
21
17
3
9
29
22
21
10
18
14
3
20
13
6
17
18
14
29
4
21
13
3
16
3
22
3
3
16
23
22
13
11
3
19
24
15
26
10
1
26
19
3
9
10
1
24
23
9
18
12
15
6
25
24
14
17
3
14
3
29
27
28
20
16
4
6
4
14
12
3
20
17
14
3
12
17
17
13
20
9
3
15
14
3
7
3
2
22
3
22
20
26
12
22
17
20
14
13
20
7
15
26
20
3
9
3
3
15
18
3
21
14
20
22
17
13
21
21
12
2
14
3
29
3
3
22
12
11
2
21
29
14
26
3
12
3
22
21
5
9
29
14
22
11
14
3
14
3
14
10
2
9
12
20
6
14
15
10
7
3
29
20
20
8
15
10
14
7
29
5
15
3
10
15
7
14
8
15
22
25
27
19
3
27
3
14
22
3
22
14
17
14
29
17
22
15
2
20
3
1
3
27
20
15
20
14
3
3
15
21
3
17
3
29
7
6
20
21
9
22
16
14
14
14
22
3
22
20
3
7
20
3
3
15
3
3
7
20
6
2
3
12
27
22
15
24
3
7
7
7
6
14
22
15
12
3
12
3
15
3
3
17
20
3
22
20
3
3
3
12
15
9
3
20
15
3
8
3
3
3
3
3
10
22
20
14
7
2
14
22
27
12
3
22
17
9
3
12
3
14
17
6
7
3
17
3
12
3
12
22
9
20
15
3
14
14
14
3
7
3
8
22
14
15
3
27
3
27
3
14
3
7
3
9
20
29
2
27
3
3
5
12
22
15
12
12
3
15
27
15
3
7
2
5
15
20
7
8
3
3
3
17
3
15
20
20
27
7
29
8
7
12
20
5
3
15
3
12
20
3
22
22
14
3
3
20
22
3
15
15
2
26
2
2
20
20
15
8
12
2
20
21
8
3
15
3
8
3
8
10
22
15
3
15
20
6
10
3
2
13
14
3
3
14
8
3
8
3
3
3
22
20
26
3
22
3
14
22
3
14
20
3
20
10
3
15
7
27
14
12
15
15
15
2
3
15
3
3
15
3
10
29
26
3
26
11
8
14
2
15
7
3
20
20
3
20
9
3
20
3
17
20
22
15
12
3
15
20
14
3
6
3
3
22
12
21
3
8
3
22
3
20
9
8
29
27
20
22
3
3
27
15
8
8
15
15
2
3
2
15
3
29
3
15
2
22
3
2
27
8
2
9
12
3
25
22
12
3
3
20
6
22
3
3
3
20
12
3
15
3
3
3
15
3
9
2
27
27
20
15
15
7
25
20
3
14
27
15
25
3
3
15
14
7
20
14
25
15
3
14
3
22
3
8
3
3
8
20
2
20
3
10
20
20
27
8
12
3
7
3
3
15
20
27
27
2
3
12
8
3
3
3
20
2
3
3
6
3
3
3
27
9
3
5
5
10
6
9
3
14
8
3
3
3
15
2
20
3
3
8
3
29
14
8
2
3
26
27
22
8
14
20
25
14
3
6
3
14
14
7
3
3
3
3
3
3
15
20
3
3
3
29
26
14
3
3
12
3
3
3
3
20
20
3
3
8
14
8
3
3
27
3
3
6
3
20
3
3
7
27
20
3
3
10
3
3
3
20
3
2
27
14
8
3
3
27
8
5
3
3
3
3
3
3
14
3
3
2
8
3
3
7
8
3
3
7
7
3
9
3
3
3
8
3
3
3
3
14
3
3
3
3
3
3
29
3
3
3
3
3
3
3
9
3
3
3
3
20
3
3
3
8
3
3
3
3
3
20
3
3
3
3
3
7
3
3
2
3
2
3
3
3
27
3
3
3
25
3
3
3
10
10
3
3
3
5
3
15
3
3
3
3
3
3
3
3
3
8
3
3
3
3
3
2
3
3
10
3
3
3
3
7
3
25
3
15
3
3
3
3
3
25
3
3
3
3
3
3
3
3
3
15
3
3
3
25
3
3
3
3
8
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
20
3
3
3
14
3
3
3
3
7
3
3
3
8
3
7
3
3
3
3
3
3
3
3
3
3
2
3
10
3
3
2
3
3
3
3
20
3
3
6
3
27
3
3
3
3
