ASV,seed23_run2,seed105_run3,seed12_run4
ASV0329,3,6,1
ASV0330,3,6,1
ASV0331,2,5,2
ASV0333,3,6,1
ASV0334,5,4,6
ASV0335,10,6,1
ASV0336,2,5,2
ASV0337,9,8,10
ASV0338,5,4,6
ASV0339,3,6,1
ASV0340,3,6,1
ASV0341,7,1,8
ASV0342,3,6,1
ASV0343,11,3,7
ASV0344,3,6,1
ASV0346,9,8,10
ASV0347,3,6,1
ASV0348,9,8,10
ASV0349,3,6,13
ASV0350,12,12,11
ASV0351,3,6,1
ASV0352,3,6,1
ASV0353,1,9,12
ASV0354,3,6,1
ASV0355,9,6,13
ASV0356,2,5,2
ASV0357,9,8,10
ASV0358,3,6,1
ASV0359,3,6,1
ASV0360,11,3,7
ASV0361,3,6,1
ASV0364,10,1,8
ASV0365,3,6,1
ASV0367,12,12,11
ASV0368,3,6,1
ASV0369,3,6,1
ASV0370,3,6,1
ASV0371,8,11,9
ASV0372,3,6,1
ASV0373,8,11,9
ASV0374,2,5,2
ASV0375,8,11,9
ASV0376,4,13,3
ASV0377,11,3,7
ASV0378,9,8,10
ASV0379,3,6,1
ASV0380,3,6,1
ASV0382,9,8,10
ASV0383,3,6,1
ASV0384,1,9,12
ASV0385,1,9,12
ASV0386,3,6,1
ASV0387,2,5,2
ASV0388,3,6,1
ASV0389,8,11,9
ASV0390,11,3,7
ASV0392,3,6,1
ASV0395,3,6,1
ASV0396,9,8,10
ASV0397,5,4,6
ASV0398,3,6,1
ASV0400,1,9,12
ASV0402,7,6,1
ASV0403,3,6,1
ASV0404,3,6,1
ASV0405,7,1,8
ASV0406,2,5,2
ASV0407,5,4,6
ASV0410,3,6,1
ASV0411,1,9,12
ASV0412,9,8,10
ASV0413,3,6,1
ASV0415,5,4,6
ASV0416,9,8,10
ASV0417,5,4,6
ASV0418,3,6,13
ASV0419,8,11,9
ASV0421,9,8,10
ASV0422,8,11,9
ASV0423,1,9,12
ASV0424,3,6,1
ASV0425,9,8,10
ASV0426,3,6,1
ASV0427,7,1,8
ASV0429,9,8,10
ASV0431,3,6,1
ASV0432,3,6,1
ASV0433,12,12,11
ASV0435,7,6,1
ASV0436,3,6,1
ASV0437,1,9,12
ASV0439,8,11,9
ASV0440,2,9,2
ASV0442,8,11,9
ASV0444,1,9,12
ASV0445,3,6,1
ASV0446,2,9,2
ASV0447,5,4,6
ASV0448,5,4,6
ASV0449,3,6,1
ASV0450,9,8,10
ASV0451,9,8,10
ASV0452,7,6,1
ASV0453,7,1,8
ASV0454,2,5,2
ASV0455,9,8,10
ASV0457,5,4,6
ASV0458,9,8,10
ASV0460,11,3,7
ASV0461,3,6,1
ASV0462,3,6,1
ASV0463,3,6,1
ASV0464,3,6,13
ASV0465,5,4,6
ASV0466,11,3,7
ASV0467,3,6,1
ASV0468,1,9,12
ASV0469,5,4,6
ASV0470,3,6,1
ASV0471,3,6,1
ASV0472,3,6,1
ASV0473,9,8,10
ASV0474,3,6,13
ASV0475,7,1,8
ASV0477,7,1,8
ASV0478,3,6,1
ASV0479,8,11,9
ASV0480,3,6,1
ASV0481,11,3,7
ASV0482,8,11,9
ASV0483,8,11,9
ASV0484,3,6,1
ASV0485,9,8,10
ASV0488,3,6,1
ASV0489,3,6,1
ASV0490,8,11,9
ASV0491,3,6,1
ASV0493,2,5,2
ASV0495,3,6,1
ASV0496,11,3,7
ASV0498,9,8,10
ASV0499,1,9,12
ASV0501,1,9,12
ASV0502,3,6,1
ASV0503,5,4,6
ASV0504,2,5,2
ASV0505,3,6,1
ASV0506,2,5,2
ASV0508,7,1,8
ASV0510,9,8,10
ASV0511,9,8,10
ASV0512,3,6,13
ASV0513,3,6,1
ASV0515,3,6,13
ASV0516,1,9,12
ASV0517,3,6,1
ASV0519,3,6,13
ASV0521,1,9,12
ASV0522,3,6,1
ASV0523,11,3,7
ASV0524,11,3,7
ASV0525,3,6,1
ASV0526,8,11,9
ASV0527,5,4,6
ASV0528,11,3,7
ASV0531,1,9,12
ASV0533,1,9,12
ASV0534,3,6,1
ASV0535,1,9,12
ASV0536,3,6,1
ASV0537,1,9,12
ASV0538,3,6,1
ASV0539,12,12,11
ASV0541,1,9,12
ASV0542,3,6,1
ASV0544,11,3,7
ASV0545,3,6,1
ASV0546,2,5,2
ASV0547,3,6,1
ASV0548,1,9,12
ASV0549,1,9,12
ASV0550,3,6,1
ASV0552,1,9,12
