row_names,s1,abs_coef
ASV6296,2.3009004256443073,2.3009004256443073
ASV4003,1.6862780461536182,1.6862780461536182
ASV8219,1.4100186677903745,1.4100186677903745
ASV4449,1.3299135984863102,1.3299135984863102
(Intercept),0.899965603565112,0.899965603565112
ASV0788,0.859637588538488,0.859637588538488
ASV7777,-0.8594330009865935,0.8594330009865935
ASV1238,-0.8167657886710034,0.8167657886710034
ASV3075,0.8119653152179023,0.8119653152179023
ASV3532,-0.715435542459736,0.715435542459736
ASV0740,-0.6896935348719815,0.6896935348719815
ASV1692,0.6879393177693588,0.6879393177693588
ASV3671,-0.6756225038553524,0.6756225038553524
ASV4117,-0.6304429463010041,0.6304429463010041
ASV6170,-0.6258937366049464,0.6258937366049464
ASV0873,-0.6219954184712694,0.6219954184712694
ASV5582,-0.5981183100831892,0.5981183100831892
ASV0793,0.5941213714018647,0.5941213714018647
ASV4294,0.569124726331452,0.569124726331452
ASV9859,0.5662114237168833,0.5662114237168833
ASV6596,0.5562199629205941,0.5562199629205941
ASV1284,-0.5544504708242438,0.5544504708242438
ASV4201,0.5353050751358739,0.5353050751358739
ASV2542,0.525581361915923,0.525581361915923
ASV0958,0.5242003026884473,0.5242003026884473
ASV3327,0.5198032785031672,0.5198032785031672
ASV0648,-0.5184954752182003,0.5184954752182003
ASV9424,-0.5115682102021177,0.5115682102021177
ASV3866,0.5046926477613202,0.5046926477613202
ASV3104,0.5025717969186136,0.5025717969186136
ASV4195,0.500913982084663,0.500913982084663
ASV6984,-0.5002104016915778,0.5002104016915778
ASV0738,0.5000233433037267,0.5000233433037267
ASV0675,0.49564085680353387,0.49564085680353387
ASV1088,0.4947899433037061,0.4947899433037061
ASV3512,0.4855784048977217,0.4855784048977217
ASV1867,0.4841167283927552,0.4841167283927552
ASV0728,0.482099009486699,0.482099009486699
ASV13113,0.4458607879437299,0.4458607879437299
ASV2033,0.4429419400976885,0.4429419400976885
ASV0718,0.4426881746004435,0.4426881746004435
ASV2082,-0.4343387825553777,0.4343387825553777
ASV6174,0.4308619258992655,0.4308619258992655
ASV2332,-0.42422340590198304,0.42422340590198304
ASV10103,-0.42174646639252367,0.42174646639252367
ASV0838,-0.41817560703565315,0.41817560703565315
ASV7959,0.414473948313665,0.414473948313665
ASV0153,-0.39556568536639464,0.39556568536639464
ASV2085,-0.38880127463001024,0.38880127463001024
ASV3134,0.38796755149768886,0.38796755149768886
ASV1377,0.3756422701268379,0.3756422701268379
ASV0683,0.3723248896834978,0.3723248896834978
ASV4064,0.3702830375748627,0.3702830375748627
ASV0250,0.3636815736383352,0.3636815736383352
ASV0469,-0.3622073730762635,0.3622073730762635
ASV6100,-0.35940307881919387,0.35940307881919387
ASV0826,0.3571363407268464,0.3571363407268464
ASV2673,0.35598503685870253,0.35598503685870253
ASV14904,-0.3519173562804699,0.3519173562804699
ASV3673,0.3508436497975463,0.3508436497975463
ASV1321,0.34830392209986777,0.34830392209986777
ASV3118,-0.34668334114722993,0.34668334114722993
ASV3502,0.345629815447195,0.345629815447195
ASV0185,0.34121158785927197,0.34121158785927197
ASV6479,0.34104143080620714,0.34104143080620714
ASV10729,-0.33441729260411024,0.33441729260411024
ASV1987,-0.33015130064788134,0.33015130064788134
ASV2834,0.3299961576870669,0.3299961576870669
ASV1044,0.32324422703354305,0.32324422703354305
ASV2132,0.3222065034747257,0.3222065034747257
ASV0937,-0.3153706158186372,0.3153706158186372
ASV3053,0.3150018591020136,0.3150018591020136
ASV1611,-0.313013144559048,0.313013144559048
