sample_id,Clade,ITS2,its2_count,Majority,species,region,reef
SMAQ-R1-28,C,85463,10116,C21,S,MAQ,R1
SMAQ-R1-29,C,84879,5080,C21,S,MAQ,R1
SMAQ-R1-3,A,85615,12344,A1,S,MAQ,R1
SMAQ-R1-4,A,85600,8246,A1,S,MAQ,R1
SMAQ-R1-5,A,85600,6948,A1,S,MAQ,R1
SMAQ-R1-6,C,85463,9094,C21,S,MAQ,R1
SMAQ-R1-7,A,85599,9027,A1,S,MAQ,R1
SMAQ-R1-8,A,85600,2219,A1,S,MAQ,R1
SMAQ-R2-10,C,85463,22599,C21,S,MAQ,R2
SMAQ-R2-11,A,84609,9984,A1,S,MAQ,R2
SMAQ-R2-13,C,85463,3358,C21,S,MAQ,R2
SMAQ-R2-14,A,84609,12316,A1,S,MAQ,R2
SMAQ-R2-16,A,84609,8387,A1,S,MAQ,R2
SMAQ-R2-17,A,84609,11451,A1,S,MAQ,R2
SMAQ-R2-18,A,85615,12801,A1,S,MAQ,R2
SMAQ-R2-20,A,85615,20827,A1,S,MAQ,R2
SMAQ-R2-22,C,85463,8430,C21,S,MAQ,R2
SMAQ-R2-27,A,85625,5194,A1,S,MAQ,R2
SMAQ-R2-28,A,84603,14260,A1,S,MAQ,R2
SMAQ-R2-29,A,85615,21861,A1,S,MAQ,R2
SMAQ-R2-3,C,85463,3147,C21,S,MAQ,R2
SMAQ-R2-30,A,85615,9784,A1,S,MAQ,R2
SMAQ-R2-31,A,84552,7759,A1,S,MAQ,R2
SMAQ-R2-33,A,85615,18420,A1,S,MAQ,R2
SMAQ-R2-37,C,85463,5045,C21,S,MAQ,R2
SMAQ-R2-40,C,84932,7787,C163b,S,MAQ,R2
SMAQ-R2-6,C,85463,15269,C21,S,MAQ,R2
SMAQ-R2-7,C,85463,7205,C21,S,MAQ,R2
SMAQ-R2-8,A,85615,18159,A1,S,MAQ,R2
SMAQ-R2-9,A,85615,11722,A1,S,MAQ,R2
SWAJ-R1-23,A,85623,11558,A1,S,WAJ,R1
SWAJ-R1-25,A,85623,8939,A1,S,WAJ,R1
SWAJ-R1-26,A,84603,7732,A1,S,WAJ,R1
SWAJ-R1-27,A,85623,10941,A1,S,WAJ,R1
SWAJ-R1-30,A,85623,13550,A1,S,WAJ,R1
SWAJ-R1-33,A,85623,7748,A1,S,WAJ,R1
SWAJ-R1-34,A,85623,7082,A1,S,WAJ,R1
SWAJ-R1-38,A,84603,5981,A1,S,WAJ,R1
SWAJ-R1-42,A,85623,10125,A1,S,WAJ,R1
SWAJ-R1-45,A,84603,17851,A1,S,WAJ,R1
SWAJ-R3-1,A,85599,13965,A1,S,WAJ,R3
SWAJ-R3-10,A,85599,6943,A1,S,WAJ,R3
SWAJ-R3-11,A,85599,10695,A1,S,WAJ,R3
SWAJ-R3-12,A,85615,25798,A1,S,WAJ,R3
SWAJ-R3-13,A,85599,11882,A1,S,WAJ,R3
SWAJ-R3-14,A,85599,24060,A1,S,WAJ,R3
SWAJ-R3-15,A,85599,19657,A1,S,WAJ,R3
SWAJ-R3-16,A,85599,21004,A1,S,WAJ,R3
SWAJ-R3-17,A,85599,15338,A1,S,WAJ,R3
SWAJ-R3-18,C,84927,13526,C21,S,WAJ,R3
SWAJ-R3-19,C,84927,4955,C21,S,WAJ,R3
SWAJ-R3-2,A,84552,13712,A1,S,WAJ,R3
SWAJ-R3-21,A,85599,20894,A1,S,WAJ,R3
SWAJ-R3-22,C,84927,5385,C21,S,WAJ,R3
SWAJ-R3-23,A,85599,17806,A1,S,WAJ,R3
SWAJ-R3-24,A,85615,26757,A1,S,WAJ,R3
SWAJ-R3-3,A,85599,28356,A1,S,WAJ,R3
SWAJ-R3-4,A,85599,17018,A1,S,WAJ,R3
SWAJ-R3-5,A,84591,11720,A1,S,WAJ,R3
SWAJ-R3-6,A,85615,26433,A1,S,WAJ,R3
SWAJ-R3-7,A,85615,6635,A1,S,WAJ,R3
SWAJ-R3-8,A,84552,19746,A1,S,WAJ,R3
SWAJ-R3-9,A,84591,27355,A1,S,WAJ,R3
SWAJ-R4-1,A,85615,25654,A1,S,WAJ,R4
SWAJ-R4-10,A,84591,7587,A1,S,WAJ,R4
SWAJ-R4-11,A,84603,18280,A1,S,WAJ,R4
SWAJ-R4-13,A,84603,14532,A1,S,WAJ,R4
SWAJ-R4-14,A,84552,24872,A1,S,WAJ,R4
SWAJ-R4-15,A,84603,16027,A1,S,WAJ,R4
SWAJ-R4-17,A,84603,11859,A1,S,WAJ,R4
SWAJ-R4-18,A,84603,14724,A1,S,WAJ,R4
SWAJ-R4-19,A,84603,23647,A1,S,WAJ,R4
SWAJ-R4-2,A,85615,8056,A1,S,WAJ,R4
SWAJ-R4-20,A,84603,14891,A1,S,WAJ,R4
SWAJ-R4-21,A,84603,23577,A1,S,WAJ,R4
SWAJ-R4-23,A,84552,30877,A1,S,WAJ,R4
SWAJ-R4-24,A,84552,13666,A1,S,WAJ,R4
SWAJ-R4-25,A,84603,20169,A1,S,WAJ,R4
SWAJ-R4-26,A,85623,22532,A1,S,WAJ,R4
SWAJ-R4-27,A,84603,14086,A1,S,WAJ,R4
SWAJ-R4-3,A,84603,17329,A1,S,WAJ,R4
SWAJ-R4-30,C,84927,8809,C21,S,WAJ,R4
SWAJ-R4-4,A,84603,17126,A1,S,WAJ,R4
SWAJ-R4-5,A,84603,28829,A1,S,WAJ,R4
SWAJ-R4-6,A,84603,20078,A1,S,WAJ,R4
SWAJ-R4-7,A,84603,29401,A1,S,WAJ,R4
SWAJ-R4-8,A,84591,29360,A1,S,WAJ,R4
SWAJ-R4-9,A,84603,11973,A1,S,WAJ,R4
SYAN-R1-1,C,85464,8435,C72,S,YAN,R1
SYAN-R1-10,C,85464,6420,C72,S,YAN,R1
SYAN-R1-11,C,85464,7256,C72,S,YAN,R1
SYAN-R1-12,C,85464,7443,C72,S,YAN,R1
SYAN-R1-13,C,84880,10126,C72,S,YAN,R1
SYAN-R1-14,C,85464,5081,C72,S,YAN,R1
SYAN-R1-15,C,85464,6728,C72,S,YAN,R1
SYAN-R1-16,C,84880,7341,C72,S,YAN,R1
SYAN-R1-18,A,84604,6147,A1/A1cz,S,YAN,R1
SYAN-R1-19,C,84926,10428,C72,S,YAN,R1
SYAN-R1-2,C,85464,2316,C72,S,YAN,R1
SYAN-R1-20,C,84926,11078,C72,S,YAN,R1
SYAN-R1-29,C,84927,369,C21,S,YAN,R1
SYAN-R1-3,C,85464,6145,C72,S,YAN,R1
SYAN-R1-30,C,85464,10802,C72,S,YAN,R1
SYAN-R1-5,C,85464,12289,C72,S,YAN,R1
SYAN-R1-6,C,85464,8958,C72,S,YAN,R1
SYAN-R1-7,C,85464,11812,C72,S,YAN,R1
SYAN-R1-9,C,85464,6616,C72,S,YAN,R1
SYAN-R3-1,A,84613,20796,A1,S,YAN,R3
SYAN-R3-10,A,84613,15050,A1,S,YAN,R3
SYAN-R3-11,A,84552,15664,A1,S,YAN,R3
SYAN-R3-12,A,85615,19845,A1,S,YAN,R3
SYAN-R3-13,A,85615,10926,A1,S,YAN,R3
SYAN-R3-14,A,85623,19914,A1,S,YAN,R3
SYAN-R3-15,A,84613,13918,A1,S,YAN,R3
SYAN-R3-16,A,85615,17385,A1,S,YAN,R3
SYAN-R3-17,A,84607,7450,A1,S,YAN,R3
SYAN-R3-18,A,84552,17343,A1,S,YAN,R3
SYAN-R3-19,C,84881,10287,C116,S,YAN,R3
SYAN-R3-2,A,85611,9598,A1,S,YAN,R3
SYAN-R3-20,A,84613,6939,A1,S,YAN,R3
SYAN-R3-21,A,84613,13455,A1,S,YAN,R3
SYAN-R3-22,A,84566,16515,A1,S,YAN,R3
SYAN-R3-23,A,84613,14521,A1,S,YAN,R3
SYAN-R3-24,A,85623,12223,A1,S,YAN,R3
SYAN-R3-25,A,84604,8993,A1/A1cz,S,YAN,R3
SYAN-R3-26,A,84566,16906,A1,S,YAN,R3
SYAN-R3-3,A,85611,18612,A1,S,YAN,R3
SYAN-R3-4,A,85611,12000,A1,S,YAN,R3
SYAN-R3-6,A,85623,23005,A1,S,YAN,R3
SYAN-R3-7,A,85611,24216,A1,S,YAN,R3
SYAN-R3-8,A,85615,13868,A1,S,YAN,R3
SYAN-R3-9,A,85615,12329,A1,S,YAN,R3
SYAN-R4-1,C,85464,11104,C72,S,YAN,R4
SYAN-R4-10,A,84607,31597,A1,S,YAN,R4
SYAN-R4-11,C,85464,7949,C72,S,YAN,R4
SYAN-R4-12,A,84604,15129,A1/A1cz,S,YAN,R4
SYAN-R4-13,A,84604,15051,A1/A1cz,S,YAN,R4
SYAN-R4-14,A,84604,13872,A1/A1cz,S,YAN,R4
SYAN-R4-15,A,84604,12545,A1/A1cz,S,YAN,R4
SYAN-R4-16,A,84604,15778,A1/A1cz,S,YAN,R4
SYAN-R4-17,A,84604,20987,A1/A1cz,S,YAN,R4
SYAN-R4-18,A,84607,40624,A1,S,YAN,R4
SYAN-R4-19,A,84604,15445,A1/A1cz,S,YAN,R4
SYAN-R4-2,A,84607,23933,A1,S,YAN,R4
SYAN-R4-20,A,84604,16085,A1/A1cz,S,YAN,R4
SYAN-R4-21,A,84607,18829,A1,S,YAN,R4
SYAN-R4-22,A,84604,5268,A1/A1cz,S,YAN,R4
SYAN-R4-23,A,84607,21964,A1,S,YAN,R4
SYAN-R4-24,A,84604,8031,A1/A1cz,S,YAN,R4
SYAN-R4-25,A,84566,27091,A1,S,YAN,R4
SYAN-R4-3,A,84607,26782,A1,S,YAN,R4
SYAN-R4-4,A,84566,20451,A1,S,YAN,R4
SYAN-R4-5,A,84607,31745,A1,S,YAN,R4
SYAN-R4-6,A,84607,11131,A1,S,YAN,R4
SYAN-R4-7,C,85464,9359,C72,S,YAN,R4
SYAN-R4-8,A,84604,17708,A1/A1cz,S,YAN,R4
SYAN-R4-9,A,84604,13161,A1/A1cz,S,YAN,R4
